Doc_ID,Country,Year,Document_Name,Page,Block_ID,text
0,CAN,2022,Canada's National Quantum Strategy,2,1,"Executive summary dvances in quantum science have the potential to transform how people work and live in Canada and around the world. Canada’s investments in quantum technologies and research over many decades have made the Acountry a global leader in the field, with a growing ecosystem of world-class centres of quantum expertise in universities and businesses across the country. As the rest of the world expands its own quantum programs, Canada must continue to invest and innovate if it is to stay ahead."
0,CAN,2022,Canada's National Quantum Strategy,3,1,"Three key missions The National Quantum Strategy (NQS) sets out three key missions to ensure Canada stays on the path of quantum innovation and leadership: • Make Canada a world leader in the continued development, deployment and use of quantum computing hardware and software—to the benefit of Canadian industry, governments and citizens. • Ensure the privacy and cyber-security of Canadians in a quantum-enabled world through a national secure quantum communications network and a post-quantum cryptography initiative. • Enable the Government of Canada and key industries to be developers and early adopters of new quantum sensing technologies. Three core pillars To foster these missions and other quantum initiatives, the NQS is built on three pillars: • Research – Supporting basic and applied research to realize new solutions and new innovations. • Talent – Developing, attracting and retaining the critical talent from within Canada and around the world to build the quantum sector. • Commercialization – Translating research into scalable, commercial products and services that can benefit Canadians, our industries and the world."
0,CAN,2022,Canada's National Quantum Strategy,3,2,"Next steps To strengthen Canada’s quantum ecosystem, the Government of Canada has allocated $360 million in dedicated funding, delivered though funding calls and other supports aligned with this strategy. In addition, government support for a quantum-enabled future will leverage a number of current and anticipated broad-based, large-scale programs that are critical to fostering Canada’s strength in quantum research, innovation and commercialization, and the growth and success of the Canadian ecosystem. Quantum technologies are evolving quickly. As the technologies mature and the opportunities and challenges become clearer, the Government of Canada may explore additional actions to support Canadian excellence and meet the needs of the quantum community. The Government of Canada will also maintain an ongoing dialogue with stakeholders, provinces and like-minded nations to ensure that Canada is positioned to succeed in a quantumenabled future."
0,CAN,2022,Canada's National Quantum Strategy,4,1,Canada: A quantum pioneer
0,CAN,2022,Canada's National Quantum Strategy,4,2,"ince the birth of quantum science more than 100 years ago, quantum technologies have been the source of many game-changingSinnovations, including semiconductors and lasers. In the coming years, new breakthroughs will further transform how people work and live. Canadian quantum researchers and companies are well positioned to realize this disruptive potential as the capability to design and engineer quantum states increases. Emerging quantum innovations will underpin major advances in fields from computing to artificial intelligence (AI) to health care, with a vast range of potential applications: developing life-saving drugs and vaccines, locating critical minerals and other natural resources (and mitigating the environmental impact of extracting them), making transportation safer and more efficient, accelerating the design of higher-capacity batteries, and many more. Quantum technologies will also enhance digital privacy, strengthen cyber-security and safeguard digital infrastructure through secure"
0,CAN,2022,Canada's National Quantum Strategy,4,3,"communications—although in the hands of bad actors, advances in quantum computing could put sensitive information at risk. To remain competitive and expand future opportunities, businesses will need to take advantage of the improved capabilities offered by quantum technologies and help futureproof the economy. What do we mean by “quantum”? Quantum mechanics is the physics of the very small. The field seeks to predict and explain the behaviour of atoms and molecules and involves the manipulation and control of systems at the atomic and subatomic levels. The next quantum revolution is expected to deliver major economic benefits. According to a study commissioned by the National Research Council of Canada (NRC), the quantum sector will become a $139 billion industry in Canada with more than 200,000 jobs and $42 billion in returns by 2045, potentially contributing 3% to Canada’s GDP.1"
0,CAN,2022,Canada's National Quantum Strategy,4,4,"Socio-Economic Impact of Quantum Technologies in Canada, Doyletech, 2020."
0,CAN,2022,Canada's National Quantum Strategy,5,1,"An early leader Canada has taken a leadership position through investments in quantum science over many decades, including more than $1 billion between 2012 and 2022. Provincial governments have also made significant investments in centres of quantum leadership. In addition, private investors and philanthropists have committed more than $1 billion toward quantum science, innovation and companies since 2002. These investments have built a growing ecosystem that includes world-class centres of quantum expertise in universities across the country and pioneering, industry-leading companies."
0,CAN,2022,Canada's National Quantum Strategy,5,2,"Canada’s quantum firsts D-Wave launched the first computer based on quantum technology in 2011. 1Qbit was recognized by the World Economic Forum in 2015 as the first software company dedicated to producing commercial applications for quantum computers. Xanadu launched PennyLane, the first dedicated machine learning software for quantum computers, in 2018."
0,CAN,2022,Canada's National Quantum Strategy,5,3,"In recent years, other countries have ramped up their efforts to develop quantum technologies.2 To retain a leading position and continue to partner effectively amid growing international commitments and investments, Canada must build on its quantum advantage as the impacts of these technologies expand globally. 2 A Quantum Revolution: Report on Global Policies for Quantum Technology, CIFAR, 2021."
0,CAN,2022,Canada's National Quantum Strategy,6,1,Consulting with stakeholders
0,CAN,2022,Canada's National Quantum Strategy,6,2,"o inform development of this strategy, the Government of Canada consulted broadly, as each stakeholder group has a differentTrole to play: • Academia – Developing talent, performing largescale applied research and development (R&D), and pushing the boundaries of knowledge. • Industry – Bringing new technologies to market, making connections into global supply chains, exporting quantum products and services, and adopting new technologies. • Not-for-profit – Convening and coordinating activities in support of quantum research and commercialization, including education, awareness, acceleration and incubation, and conducting advocacy."
0,CAN,2022,Canada's National Quantum Strategy,6,3,"• Government – Funding, de-risking and creating supportive policy frameworks for emerging technologies, convening and coordinating, procuring goods and services, and serving as a research partner. These stakeholders came together to support a coordinated strategy to keep Canada at the forefront of global quantum developments in the decades to come.3 Their input focused on four key areas: research, talent, commercialization, and security. They identified five broad categories of quantum technologies."
0,CAN,2022,Canada's National Quantum Strategy,6,4,"National Quantum Strategy Consultations: What We Heard Report, Innovation, Science and Economic Development Canada, 2022."
0,CAN,2022,Canada's National Quantum Strategy,7,1,The five principal quantum technologies
0,CAN,2022,Canada's National Quantum Strategy,7,2,"• Quantum computers A type of computer that harnesses the behaviour of microscopic elements the size of atoms to perform calculations. Potential applications include machine learning; the design of pharmaceuticals, advanced materials and chemical processes; and the resolution of optimization problems in finance, logistics and other critical domains. • Quantum software Software and algorithms that run on quantum computers and enable the efficient operation and design of quantum computers, and/ or software that enables the development and optimization of quantum computing applications. Research Stakeholders agreed that Canada must coordinate, connect and mobilize efforts to advance knowledge and support the growing commercial quantum sector. They recommended that a National Quantum Strategy should enable research cooperation and collaboration between industry, academia and government, and further increase connections between regional quantum hubs to foster a robust national ecosystem. Stakeholders also noted that setting goals for future achievements makes it possible to establish and reinforce necessary research funding mechanisms today. This includes ramping up efforts to apply quantum technologies to problems faced by Canadian industry, and identifying and capitalizing on domestic research strengths to focus future investments. At the same time, the consultations acknowledged the need for patient investment in research over an extended period to realize the full potential of quantum technologies."
0,CAN,2022,Canada's National Quantum Strategy,7,3,"• Quantum communications Communications networks that take advantage of the laws of physics to protect and share data. Potential applications include protecting communications against eavesdropping and connecting quantum devices together. • Quantum sensors Devices that perform measurements with high sensitivity and accuracy. Potential applications include submarine detection, mineral exploration, imaging and sensitive radar detection. • Quantum materials Materials with unusual magnetic and electrical properties that could enable energy-efficient electrical systems, better batteries and the construction of new types of electronic devices. Talent The importance of recruiting, retaining and developing quantum talent in academia, industry and government was prominent in stakeholder feedback, as was the value of expanding national support for cutting-edge research to help retain and attract top talent and foster a vibrant start-up community. The importance of fostering a diverse and inclusive quantum workforce was also emphasized. In addition to quantum physics knowledge and experience, feedback suggested that future success requires harnessing expertise in a wide variety of fields, such as social science and humanities, business, and engineering. Increasing industry-academia collaboration was noted as a way to draw research talent into industry, increase commercialization, and ensure strong readiness to engage and create value from quantum applications. Training and internship programs that provide work experience and cross-disciplinary skillsets were also identified as key to advancing research toward commercialization."
0,CAN,2022,Canada's National Quantum Strategy,8,1,"Stakeholders stressed the need to expand efforts to attract international talent. They suggested creating mobility programs that offer international training and internships, adopting immigration measures, developing agreements with other countries, and facilitating access to international talent to complement Canada’s home-grown supply. Commercialization Stakeholders acknowledged that Canada has expertise in many technologies with near-term commercial opportunity, including quantum sensors, which can be used to increase the competitive advantage of mining and defence sectors; quantum communications and cryptography; and quantum computing hardware and software, including algorithm design. Quantum technologies are evolving quickly; however, they have lengthy development timelines and require long-term R&D support. Even when a quantum innovation reaches the proof-of-concept stage, intensive research is still needed to scale it into a commercially viable technology. Participants in the consultations felt that this interplay underscores the importance of industry-academia-government collaboration throughout the development lifecycle. As Canada’s domestic market is small, its quantum strategy needs to leverage international partnerships and markets. Given the modest number of large Canadian first-buyer companies, stakeholders noted the importance of the Government of Canada as a first buyer, and felt that government procurement will be pivotal to de-risk product development and secure commercial success. Security Stakeholders put high priority on the timely development and adoption of post-quantum cryptography. Quantum computing presents a significant cyber-security risk, as it has the potential to break current security algorithms, including those commonly used over the Internet. Quantum computing-enabled malicious cyber activity could put personal information, financial systems, utility grids, infrastructure and national security in peril."
0,CAN,2022,Canada's National Quantum Strategy,8,2,"The interoperability of existing and new systems will also be a major issue, as transitioning to new cryptographic technologies may take years. Stakeholders proposed that Canada invest in a parallel infrastructure for secure communications for highly sensitive information using quantum technologies, including critical space-based infrastructure. Given the dual use nature of the technologies involved, stakeholders recognized their importance to Canada’s economic and national security and suggested that foreign collaborations focus on trusted allies. Other input Stakeholders also identified the importance of protecting and mobilizing intellectual property (IP). While the general view was that IP derived from publicly funded research should accrue benefits to Canada, consultation participants recognized the need to strike an appropriate balance between restrictiveness and openness to avoid unintended barriers to development, commercialization and international investment. For companies seeking investments so they can scale, the risks to Canadian IP relate to maintaining equity and to mergers with or acquisitions by foreign-owned companies. Stakeholders said Canada needs to take a leading role in the development of mutually advantageous international standards to facilitate collaborative research and enable future opportunities for Canadian industry. Stakeholders also noted that Canada should contribute its perspective on the ethical use of quantum innovations. It was suggested that the Social Sciences and Humanities Research Council (SSHRC) could fund studies on the societal and ethical considerations of quantum technologies. Ongoing discussions with stakeholders, along with proactive engagement with end users, will be vital to providing social and economic benefits to Canadians through the development and application of transformational innovations."
0,CAN,2022,Canada's National Quantum Strategy,9,1,Canada’s National Quantum Strategy
0,CAN,2022,Canada's National Quantum Strategy,9,2,"his strategy recognizes strengths that have built up over many years of hard work and investments, and represents a new chapterTin Canada’s quantum story. The National Quantum Strategy (NQS) aims to amplify Canada’s significant strength in quantum research; grow Canadian quantum-ready technologies, companies and talent; and solidify global leadership in quantum science and its commercialization. The Government of Canada will continue to engage stakeholders to ensure that the NQS remains on the right course."
0,CAN,2022,Canada's National Quantum Strategy,9,3,"The Government of Canada has committed an incremental $360 million over seven years, starting in 2021–22, to support strategy implementation. In addition, support for a quantum-enabled future will leverage a number of current and anticipated broadbased, large-scale government programs that are critical to expanding Canada’s strength in quantum research, innovation and commercialization, and can be key instruments in advancing the growth and success of the Canadian quantum ecosystem."
