Actor_Name,QH_Category,Connections_Count,Centrality_Score
Canada Foundation for Innovation,Unknown,117,0.7647058823529412
Global Affairs Canada,Unknown,117,0.7647058823529412
Business Development Bank of Canada,Unknown,88,0.5751633986928105
"Innovation, Science and Economic Development Canada",Unknown,64,0.41830065359477125
D-Wave,Unknown,61,0.39869281045751637
Creative Destruction Lab,Unknown,61,0.39869281045751637
DRDC,Unknown,61,0.39869281045751637
Defence Research and Development Canada,Unknown,61,0.39869281045751637
Department of National Defence,Unknown,61,0.39869281045751637
DND,Unknown,61,0.39869281045751637
ISED,Unknown,61,0.39869281045751637
Government of Quebec,Unknown,61,0.39869281045751637
IBM,Unknown,61,0.39869281045751637
Horizon Europe,Unknown,61,0.39869281045751637
IBM Quantum Hub,Unknown,61,0.39869281045751637
IDEaS,Unknown,61,0.39869281045751637
IQC,Unknown,61,0.39869281045751637
IBM Q System One,Unknown,61,0.39869281045751637
Internet of Things,Unknown,61,0.39869281045751637
Innovation for Defence Excellence and Security,Unknown,61,0.39869281045751637
Institut Quantique,Unknown,61,0.39869281045751637
Institute for Quantum Computing,Unknown,61,0.39869281045751637
Mitacs,Unknown,61,0.39869281045751637
Invest in Canada,Unknown,61,0.39869281045751637
NSERC CREATE,Unknown,61,0.39869281045751637
Communications Security Establishment,Unknown,61,0.39869281045751637
Statistics Canada,Unknown,61,0.39869281045751637
Social Sciences and Humanities Research Council,Unknown,61,0.39869281045751637
Sherbrooke Quantum Innovation Zone,Unknown,61,0.39869281045751637
Secure Networks Challenge Program,Unknown,61,0.39869281045751637
Xanadu,Unknown,61,0.39869281045751637
World Economic Forum,Unknown,61,0.39869281045751637
Université de Sherbrooke,Unknown,61,0.39869281045751637
University of Waterloo,Unknown,61,0.39869281045751637
UKRI,Unknown,61,0.39869281045751637
UK Research and Innovation (UKRI),Unknown,61,0.39869281045751637
U.S. National Science Foundation,Unknown,61,0.39869281045751637
Tri-Agency EDI Action Plan,Unknown,61,0.39869281045751637
Trade Commissioner Service,Unknown,61,0.39869281045751637
The Department of National Defence and Canadian Armed Forces Quantum Science and Technology (S&T) Strategy,Unknown,61,0.39869281045751637
TCS,Unknown,61,0.39869281045751637
Stewart Blusson Quantum Matter Institute,Unknown,61,0.39869281045751637
Quantum Valley Ideas Lab,Unknown,61,0.39869281045751637
Quantum Technologies Competition,Unknown,61,0.39869281045751637
Quantum Industry Canada,Unknown,61,0.39869281045751637
Quantum Advisory Council,Unknown,61,0.39869281045751637
SSHRC,Unknown,61,0.39869281045751637
S&T Strategy,Unknown,61,0.39869281045751637
S&T,Unknown,61,0.39869281045751637
Council,Unknown,61,0.39869281045751637
Bank of Canada,Unknown,61,0.39869281045751637
Canada Excellence Research Chairs Program,Unknown,61,0.39869281045751637
CSE,Unknown,61,0.39869281045751637
CERC,Unknown,61,0.39869281045751637
Anyon Systems,Unknown,61,0.39869281045751637
BDC Deep Tech Venture Fund,Unknown,61,0.39869281045751637
Alliance,Unknown,61,0.39869281045751637
European Commission,Unknown,61,0.39869281045751637
Perimeter Institute,Unknown,61,0.39869281045751637
PennyLane,Unknown,61,0.39869281045751637
PTs,Unknown,61,0.39869281045751637
